schema_version,analysis_class,diagnostic_order,diagnostic,split_order,split_name,method_a,method_b,metric_order,metric,accuracy_difference,balanced_accuracy_difference,macro_f1_difference,signs_agree,direction,primary_seed,diagnostic_seed,maximum_lower_shift,maximum_upper_shift,maximum_width_shift,reporting_status
1,confirmatory,83,bootstrap_seed_method_difference,2,cluster50,esm2-150m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.009733118617447,0.012542379489843,0.01639265135741,reportable
1,confirmatory,84,class_balance_method_difference,2,cluster50,esm2-150m,esm2-35m,NA,NA,0,-0.001127320954907,-0.016099899636715,false,mixed,2026,NA,NA,NA,NA,reportable
1,confirmatory,85,bootstrap_seed_method_difference,2,cluster50,esm2-150m,esm2-35m,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.002200727645196,0.004459308807135,0.004459308807135,reportable
1,confirmatory,86,bootstrap_seed_method_difference,2,cluster50,esm2-150m,esm2-35m,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.004589410589411,0.007150322553264,0.002999083363954,reportable
1,confirmatory,87,bootstrap_seed_method_difference,2,cluster50,esm2-150m,esm2-35m,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.005303923693301,0.002351443391668,0.007107476158095,reportable
1,confirmatory,88,class_balance_method_difference,3,cluster30,esm2-35m,aac-logistic,NA,NA,0.424242424242424,0.465575133678582,0.467409236443449,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,89,bootstrap_seed_method_difference,3,cluster30,esm2-35m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.01536231884058,0.002351016655851,0.017713335496431,reportable
1,confirmatory,90,bootstrap_seed_method_difference,3,cluster30,esm2-35m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.002379123749813,0.010177322117846,0.007798198368033,reportable
1,confirmatory,91,bootstrap_seed_method_difference,3,cluster30,esm2-35m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.013030153955835,0.004076915136756,0.017107069092591,reportable
1,confirmatory,92,class_balance_method_difference,3,cluster30,esm2-35m,kmer3-logistic,NA,NA,0.227272727272727,0.290164624647383,0.324548519891805,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,93,bootstrap_seed_method_difference,3,cluster30,esm2-35m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.012290313852814,0.015625,0.022555821037335,reportable
1,confirmatory,94,bootstrap_seed_method_difference,3,cluster30,esm2-35m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.006853608379924,0.002907117403669,0.009760725783593,reportable
1,confirmatory,95,bootstrap_seed_method_difference,3,cluster30,esm2-35m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.007041934937514,0.010634389108933,0.008657710666805,reportable
1,confirmatory,96,class_balance_method_difference,3,cluster30,esm2-150m,aac-logistic,NA,NA,0.5,0.547196960127995,0.534304879846676,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,97,bootstrap_seed_method_difference,3,cluster30,esm2-150m,aac-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005528846153846,0.010296860212659,0.004768014058813,reportable
1,confirmatory,98,bootstrap_seed_method_difference,3,cluster30,esm2-150m,aac-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.005937173937174,0.004946187194032,0.010540329163174,reportable
1,confirmatory,99,bootstrap_seed_method_difference,3,cluster30,esm2-150m,aac-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.005436262710757,0.001847349362235,0.003588913348522,reportable
1,confirmatory,100,class_balance_method_difference,3,cluster30,esm2-150m,kmer3-logistic,NA,NA,0.303030303030303,0.371786451096796,0.391444163295032,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,101,bootstrap_seed_method_difference,3,cluster30,esm2-150m,kmer3-logistic,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.004884004884005,0.006584723441615,0.004104564711457,reportable
1,confirmatory,102,bootstrap_seed_method_difference,3,cluster30,esm2-150m,kmer3-logistic,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.004579059791835,0.011522492127756,0.010064409698277,reportable
1,confirmatory,103,bootstrap_seed_method_difference,3,cluster30,esm2-150m,kmer3-logistic,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.008417042706654,0.007169063264998,0.015586105971652,reportable
1,confirmatory,104,class_balance_method_difference,3,cluster30,esm2-150m,esm2-35m,NA,NA,0.075757575757576,0.081621826449413,0.066895643403227,true,positive,2026,NA,NA,NA,NA,reportable
1,confirmatory,105,bootstrap_seed_method_difference,3,cluster30,esm2-150m,esm2-35m,0,accuracy,NA,NA,NA,NA,NA,2026,3407;42,0,0.002473311335404,0.002473311335404,reportable
1,confirmatory,106,bootstrap_seed_method_difference,3,cluster30,esm2-150m,esm2-35m,1,balanced_accuracy,NA,NA,NA,NA,NA,2026,3407;42,0.001002865414156,0.002926595716656,0.001993415993154,reportable
1,confirmatory,107,bootstrap_seed_method_difference,3,cluster30,esm2-150m,esm2-35m,2,macro_f1,NA,NA,NA,NA,NA,2026,3407;42,0.004846025225361,0.007073287018414,0.011919312243775,reportable
